Link,UPC Code,table_data 1,table_data 2,table_data 3,table_data 4,table_data 5,table_data 6,table_data 7,table_data 8,table_data 9,table_data 10,table_data 11,table_data 12,table_data 13,table_data 14,table_data 15,table_data 16,table_data 17,table_data 18,table_data 19,table_data 20,table_data 21,table_data 22,table_data 23,table_data 24,table_data 25,table_data 26,table_data 27,table_data 28,table_data 29,table_data 30
https://timken-us.ptplace.com/productDetail/_pn=455858_sc=100061821?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.756 in,Shaft diameter (inch),3.437 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.562 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=455860_sc=100061822?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.876 in,Shaft diameter (inch),2.375 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=456057_sc=100061827?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.751 in,Shaft diameter (inch),1.937 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=456105_sc=100061828?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.249 in,Shaft diameter (inch),3.187 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=456462_sc=100074203?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),10.375 in,Shaft diameter (inch),9 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.625 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=456641_sc=100074206?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),5.5 in,Shaft diameter (inch),4.625 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,H (Silicone),Garter Spring,YES,Width,0.562 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=456648_sc=100074207?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),4.501 in,Shaft diameter (inch),3.312 in,Type,Oil Seal,Style,45,Design,2MLS45,Outside Diameter,METAL,Lip Contact,SINGLE,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470005_sc=100074215?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.124 in,Shaft diameter (inch),0.5 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470041_sc=100074218?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.828 in,Shaft diameter (inch),1 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470045_sc=100074219?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.828 in,Shaft diameter (inch),1.125 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470049_sc=100074220?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.983 in,Shaft diameter (inch),1.25 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
